Date,Open,High,Low,Close,Adj Close,Volume
2019-01-30,1417.400024,1444.000000,1400.349976,1426.599976,1359.731934,10102
2019-01-31,1418.750000,1425.000000,1389.949951,1409.250000,1343.195068,24542
2019-02-01,1404.500000,1415.000000,1396.300049,1407.550049,1341.574829,10985
2019-02-04,1420.000000,1420.349976,1356.599976,1404.099976,1338.286499,61773
2019-02-05,1405.050049,1409.300049,1384.900024,1396.099976,1330.661377,12480
2019-02-06,1400.650024,1403.750000,1368.099976,1385.000000,1320.081665,15666
2019-02-07,1385.000000,1409.000000,1372.000000,1400.500000,1334.855225,12766
2019-02-08,1404.900024,1409.949951,1383.000000,1401.000000,1335.331787,9600
2019-02-11,1400.000000,1405.849976,1385.000000,1388.050049,1322.988770,7467
2019-02-12,1400.000000,1401.900024,1372.000000,1376.800049,1312.266113,12999
2019-02-14,1390.250000,1400.900024,1363.550049,1396.349976,1330.899658,10764
2019-02-15,1396.349976,1405.050049,1361.349976,1371.550049,1307.262207,21363
2019-02-18,1365.000000,1365.000000,1332.000000,1341.150024,1278.287109,15158
2019-02-19,1336.250000,1368.000000,1336.000000,1349.199951,1285.959717,16484
2019-02-20,1349.699951,1352.949951,1325.000000,1335.900024,1273.283203,18314
2019-02-21,1335.099976,1345.000000,1315.599976,1331.099976,1268.708130,13667
2019-02-22,1331.000000,1353.800049,1324.800049,1346.800049,1283.672363,11894
2019-02-25,1353.000000,1354.000000,1331.000000,1341.900024,1279.001953,12365
2019-02-26,1332.000000,1335.699951,1316.000000,1322.500000,1260.511230,14836
2019-02-27,1322.500000,1341.699951,1311.099976,1325.800049,1263.656738,13795
2019-02-28,1332.000000,1339.000000,1321.400024,1334.699951,1272.139404,9104
2019-03-01,1328.000000,1342.400024,1326.000000,1329.300049,1266.992554,12975
2019-03-05,1332.000000,1336.250000,1318.500000,1323.599976,1261.559570,25206
2019-03-06,1336.800049,1338.000000,1296.750000,1301.099976,1240.114380,30534
2019-03-07,1300.000000,1321.000000,1290.050049,1299.550049,1238.637085,23016
2019-03-08,1319.800049,1319.800049,1279.750000,1311.699951,1250.217407,17079
2019-03-11,1309.000000,1326.400024,1309.000000,1322.650024,1260.654297,26449
2019-03-12,1325.900024,1330.900024,1313.199951,1317.849976,1256.079224,17794
2019-03-13,1315.000000,1328.000000,1308.449951,1314.949951,1253.315063,17669
2019-03-14,1320.000000,1320.000000,1296.650024,1313.400024,1251.837891,15823
2019-03-15,1310.000000,1313.949951,1296.800049,1301.150024,1240.161987,14562
2019-03-18,1301.849976,1310.949951,1288.849976,1297.599976,1236.778320,13629
2019-03-19,1305.000000,1318.000000,1293.050049,1312.949951,1251.408936,12571
2019-03-20,1312.849976,1327.000000,1296.050049,1319.099976,1257.270630,17959
2019-03-22,1319.900024,1333.250000,1300.099976,1327.599976,1265.372192,19273
2019-03-25,1320.000000,1320.000000,1295.000000,1298.550049,1237.683960,20671
2019-03-26,1298.000000,1300.050049,1291.550049,1299.550049,1238.637085,35527
2019-03-27,1295.050049,1300.150024,1270.000000,1298.949951,1238.065063,52124
2019-03-28,1296.099976,1300.000000,1290.800049,1296.550049,1235.777588,13448
2019-04-01,1300.000000,1300.000000,1293.300049,1299.599976,1238.684570,12753
2019-04-02,1300.000000,1300.400024,1294.000000,1299.449951,1238.541626,15779
2019-04-03,1300.550049,1300.550049,1290.000000,1297.650024,1236.826050,12763
2019-04-04,1298.400024,1298.949951,1279.900024,1294.500000,1233.823608,11916
2019-04-05,1297.949951,1300.000000,1293.050049,1299.000000,1238.112793,6946
2019-04-08,1294.000000,1300.400024,1293.050049,1298.800049,1237.922119,9636
2019-04-09,1298.750000,1300.000000,1290.050049,1299.900024,1238.970703,8969
2019-04-10,1299.800049,1300.199951,1293.000000,1298.000000,1237.159668,16688
2019-04-11,1300.000000,1300.099976,1292.000000,1299.699951,1238.779907,8783
2019-04-12,1298.800049,1299.949951,1295.000000,1297.750000,1236.921387,6765
2019-04-15,1302.599976,1328.800049,1295.550049,1299.400024,1238.494141,23810
2019-04-16,1300.000000,1300.000000,1295.099976,1299.699951,1238.779907,16904
2019-04-18,1293.000000,1300.150024,1292.400024,1299.900024,1238.970703,10622
2019-04-22,1299.949951,1300.000000,1282.150024,1295.750000,1235.015137,11565
2019-04-23,1295.699951,1295.750000,1285.000000,1293.900024,1233.251831,9218
2019-04-24,1295.000000,1295.000000,1275.000000,1294.949951,1234.252563,8843
2019-04-25,1294.949951,1295.000000,1284.900024,1290.300049,1229.820679,5502
2019-04-26,1290.000000,1295.000000,1284.000000,1289.900024,1229.439331,12431
2019-04-30,1285.699951,1294.000000,1275.000000,1284.449951,1224.244751,17144
2019-05-02,1285.099976,1290.000000,1275.550049,1289.250000,1228.819824,10755
2019-05-03,1289.000000,1289.250000,1275.000000,1283.849976,1223.672852,15152
2019-05-06,1283.849976,1290.000000,1275.000000,1288.199951,1227.818970,10749
2019-05-07,1286.000000,1290.000000,1267.000000,1283.150024,1223.005615,23672
2019-05-08,1283.150024,1283.150024,1261.000000,1270.000000,1210.472168,11748
2019-05-09,1270.000000,1270.000000,1246.599976,1259.349976,1200.321167,18048
2019-05-10,1259.000000,1280.000000,1250.000000,1274.849976,1215.094849,10870
2019-05-13,1273.949951,1280.000000,1258.800049,1278.099976,1218.192505,10272
2019-05-14,1278.000000,1280.000000,1268.000000,1279.900024,1219.907959,12862
2019-05-15,1277.150024,1280.199951,1266.199951,1279.949951,1219.955566,15030
2019-05-16,1279.599976,1280.000000,1265.300049,1279.750000,1219.765015,10967
2019-05-17,1277.050049,1280.000000,1269.000000,1278.199951,1218.287598,13817
2019-05-20,1282.650024,1288.900024,1269.699951,1279.750000,1219.765015,46415
2019-05-21,1272.000000,1283.199951,1265.300049,1275.599976,1215.809448,16432
2019-05-22,1277.000000,1280.000000,1271.000000,1278.900024,1218.954956,24664
2019-05-23,1277.250000,1285.449951,1265.000000,1271.000000,1211.425171,23685
2019-05-24,1277.000000,1280.000000,1267.000000,1279.650024,1219.669800,21604
2019-05-27,1278.849976,1280.000000,1273.000000,1279.800049,1219.812744,16007
